Date,Official_Rate,Parallel_Rate,Parallel_Premium,Premium_Lag_1d,Premium_Lag_3d,Premium_Lag_7d,Official_SMA_7,Official_SMA_30,Parallel_SMA_7,Parallel_SMA_30,Premium_SMA_7,Days_Since_Adjustment,Official_Vol_7d,Parallel_Vol_7d,Price_Jump_Target
2017-03-16,22.6435,27.4,21.006028220018987,21.204614622407803,21.051568773377223,21.42845266272167,22.59635714285714,22.55494333333333,27.39564452532137,27.289362893462467,21.239723929141324,0,0.050061091254152076,0.005239805831494352,False
2017-03-17,22.49,27.4,21.831925300133395,21.006028220018987,21.829361816256824,21.17565923527881,22.580571428571428,22.549533333333333,27.397600973111487,27.29936289346247,21.333476224120552,0,0.06401436595040103,0.0034078460632378195,False
2017-03-18,22.49,27.4,21.831925300133395,21.831925300133395,21.204614622407803,21.196965665935892,22.564785714285716,22.54753333333333,27.39886951235008,27.30883584986658,21.424184743291626,1,0.07147114636212797,0.0019222982923234344,False
2017-03-19,22.49,27.4,21.831925300133395,21.831925300133395,21.006028220018987,21.213869170713743,22.549,22.548866666666665,27.39959229778906,27.31778190165291,21.512478476065862,2,0.07441081910858842,0.0008519910245708361,False
2017-03-20,22.475,27.4,21.91323692992212,21.831925300133395,21.831925300133395,21.051568773377223,22.526414285714285,22.549699999999998,27.399917638925164,27.326202623906703,21.63557392700085,0,0.06837910082021541,0.00021790692640867256,False
2017-03-21,22.6,27.4,21.23893805309733,21.91323692992212,21.831925300133395,21.829361816256824,22.542128571428574,22.554700000000004,27.4,27.334101027820328,21.551227675120916,0,0.07119748858887574,4.519398906101455e-08,False
2017-03-22,22.5948,27.4,21.26684015791244,21.23893805309733,21.831925300133395,21.204614622407803,22.54047142857143,22.559526666666667,27.4,27.341481560693286,21.560117037335864,0,0.06956859239649463,4.519398906101455e-08,False
2017-03-23,22.7684,27.4,20.34222870293916,21.26684015791244,21.91323692992212,21.006028220018987,22.558314285714285,22.564413333333334,27.4,27.3483501059322,21.465288534895894,0,0.10657290820051968,4.519398906101455e-08,False
2017-03-24,22.7,27.4,20.70484581497797,20.34222870293916,21.23893805309733,21.831925300133395,22.588314285714286,22.570103333333332,27.4,27.354713983050846,21.304277179873687,0,0.11347151520235461,4.519398906101455e-08,False
2017-03-25,22.7,27.4,20.70484581497797,20.70484581497797,21.26684015791244,21.831925300133395,22.618314285714284,22.575793333333333,27.4,27.360581947670106,21.143265824851483,1,0.11087734106804686,4.519398906101455e-08,False
2017-03-26,22.7,27.4,20.70484581497797,20.70484581497797,20.34222870293916,21.831925300133395,22.64831428571429,22.58046,27.4,27.36596419151801,20.98225446982928,2,0.09803971012973133,4.519398906101455e-08,False
2017-03-27,22.7018,27.4,20.69527526451647,20.70484581497797,20.70484581497797,21.91323692992212,22.680714285714288,22.58518666666667,27.4,27.370872342429706,20.808259946199904,0,0.06210913590063652,4.519398906101455e-08,False
2017-03-28,22.7817,27.4,20.27197267982634,20.69527526451647,20.70484581497797,21.23893805309733,22.70667142857143,22.592576666666666,27.4,27.37531946434748,20.670122035732618,0,0.06070718558270544,4.519398906101455e-08,False
2017-03-29,22.6872,27.4,20.77294685990337,20.27197267982634,20.70484581497797,21.26684015791244,22.719871428571427,22.59348333333333,27.4,27.379320057320747,20.59956585030275,0,0.03820212535152785,4.519398906101455e-08,False
2017-03-30,22.6872,27.4,20.77294685990337,20.77294685990337,20.69527526451647,20.34222870293916,22.70827142857143,22.600723333333335,27.4,27.382890057506053,20.66109701558335,1,0.032982051402337564,4.519398906101455e-08,False
2017-03-31,22.7,27.4,20.70484581497797,20.77294685990337,20.27197267982634,20.70484581497797,22.70827142857143,22.606413333333332,27.4,27.386046837167065,20.66109701558335,0,0.032982051402337564,4.519398906101455e-08,False
2017-04-01,22.7,27.4,20.70484581497797,20.70484581497797,20.77294685990337,20.70484581497797,22.70827142857143,22.611503333333335,27.4,27.3888092046746,20.66109701558335,1,0.032982051402337564,4.519398906101455e-08,False
2017-04-02,22.7,27.4,20.70484581497797,20.70484581497797,20.77294685990337,20.70484581497797,22.708271428571432,22.616593333333334,27.4,27.3911974045066,20.66109701558335,2,0.032982051402337564,4.519398906101455e-08,False
2017-04-03,22.6772,27.4,20.826204293298996,20.70484581497797,20.70484581497797,20.69527526451647,22.704757142857144,22.620923333333334,27.4,27.39323311724811,20.67980116255228,0,0.03503331068516596,4.519398906101455e-08,False
2017-04-04,22.7125,27.4,20.638414969730327,20.826204293298996,20.70484581497797,20.27197267982634,22.694871428571425,22.626430000000003,27.4,27.394939459591342,20.732150061109994,0,0.01168798733909727,4.519398906101455e-08,False
2017-04-05,22.6,27.4,21.23893805309733,20.638414969730327,20.70484581497797,20.77294685990337,22.682414285714287,22.627343333333332,27.4,27.39634098433562,20.798720231566275,0,0.0380243969357027,4.519398906101455e-08,False
2017-04-06,22.7173,27.4,20.61292495146869,21.23893805309733,20.826204293298996,20.77294685990337,22.686714285714285,22.633006666666667,27.4,27.397463680387407,20.77585995893275,0,0.04029021505267494,4.519398906101455e-08,False
2017-04-07,22.62,27.4,21.131741821396982,20.61292495146869,20.638414969730327,20.70484581497797,22.675285714285714,22.633876666666662,27.4,27.39833497276029,20.836845102706892,0,0.04672581116460366,4.519398906101455e-08,False
2017-04-08,22.62,27.4,21.131741821396982,21.131741821396982,21.23893805309733,20.70484581497797,22.663857142857147,22.636253333333332,27.4,27.398983722574986,20.89783024648104,1,0.04938157069421479,4.519398906101455e-08,False
2017-04-09,22.62,27.4,21.131741821396982,21.131741821396982,20.61292495146869,20.70484581497797,22.652428571428572,22.636903333333333,27.4,27.399440227059348,20.958815390255186,2,0.04887755839547791,4.519398906101455e-08,False
2017-04-10,22.6747,27.4,20.839525991523576,21.131741821396982,21.131741821396982,20.826204293298996,22.65207142857143,22.639376666666667,27.4,27.39973621954835,20.96071849000155,0,0.04867510364347821,4.519398906101455e-08,False
2017-04-11,22.7512,27.4,20.43320791870318,20.839525991523576,21.131741821396982,20.638414969730327,22.657600000000002,22.6444,27.4,27.39990486948411,20.931403196997675,0,0.05798922314032105,4.519398906101455e-08,False
2017-04-12,22.7,27.4,20.70484581497797,20.43320791870318,21.131741821396982,21.23893805309733,22.67188571428571,22.64663,27.4,27.39998078241587,20.855104305837763,0,0.05358471264260046,4.519398906101455e-08,False
2017-04-13,22.7512,27.4,20.43320791870318,20.70484581497797,20.839525991523576,20.61292495146869,22.676728571428573,22.655336666666663,27.4,27.4,20.829430444014122,0,0.05957076224713399,4.519398906101455e-08,False
2017-04-14,22.72,27.4,20.598591549295776,20.43320791870318,20.43320791870318,21.131741821396982,22.691014285714285,22.659123333333337,27.4,27.4,20.753266119428236,0,0.05555443062730699,4.519398906101455e-08,False
2017-04-15,22.72,27.4,20.598591549295776,20.598591549295776,20.70484581497797,21.131741821396982,22.705299999999998,22.661673333333336,27.4,27.4,20.677101794842347,1,0.0463435360514657,4.519398906101455e-08,False
2017-04-16,22.72,27.40211851851852,20.607916014606158,20.598591549295776,20.43320791870318,21.131741821396982,22.71958571428571,22.66934,27.400302645502645,27.400070617283948,20.602269536729374,2,0.027073260405653214,0.0008007247366901058,False
2017-04-17,22.7512,27.40828148148148,20.46960811509494,20.607916014606158,20.598591549295776,20.839525991523576,22.730514285714285,22.678046666666667,27.401485714285716,27.400346666666664,20.549424125810997,0,0.020601248238708746,0.0030989145326050754,False
2017-04-18,22.7398,27.4182,20.5736198207548,20.46960811509494,20.598591549295776,20.43320791870318,22.728885714285717,22.686373333333332,27.404085714285713,27.400953333333334,20.56948296896123,0,0.0190885156309444,0.006921700509780403,False
2017-04-19,22.7341,27.431585185185185,20.66272773140429,20.5736198207548,20.607916014606158,20.70484581497797,22.73375714285714,22.69501,27.40859788359788,27.402006172839506,20.563466099879275,0,0.014218046896971592,0.012141319003700182,False
2017-04-20,22.7313,27.448148148148142,20.750454871248653,20.66272773140429,20.46960811509494,20.43320791870318,22.730914285714285,22.699386666666665,27.415476190476188,27.40361111111111,20.60878709310006,0,0.011959156700742421,0.01845531471756478,False
2017-04-21,22.7,27.4676,21.00264317180616,20.750454871248653,20.5736198207548,20.598591549295776,22.728057142857146,22.702893333333336,27.42513333333333,27.40586444444444,20.666508753458682,0,0.016520477925820832,0.02539077272824298,False
2017-04-22,22.7,27.48965185185185,21.099787893620487,21.00264317180616,20.66272773140429,20.598591549295776,22.7252,22.70061333333333,27.43794074074074,27.40885283950617,20.738108231219353,1,0.019590388810703768,0.03227717210431602,False
2017-04-23,22.7,27.51401481481481,21.20711372165115,21.099787893620487,20.750454871248653,20.607916014606158,22.722342857142856,22.700613333333333,27.453925925925923,27.41265333333333,20.823707903654356,2,0.0218080915617104,0.03865713637818266,False
2017-04-24,22.7772,27.5404,20.91214021038581,21.20711372165115,21.00264317180616,20.46960811509494,22.726057142857144,22.703186666666667,27.4728,27.417333333333332,20.886926774410192,0,0.02867506798999422,0.04447280185878134,False
2017-04-25,22.73,27.56851851851852,21.28692705023546,20.91214021038581,21.099787893620487,20.5736198207548,22.724657142857144,22.70418666666667,27.494274074074074,27.422950617283952,20.988827807193143,0,0.028126254476865488,0.04969893428943577,False
2017-04-26,22.71,27.598081481481483,21.523916695206875,21.28692705023546,21.20711372165115,20.66272773140429,22.72121428571429,22.704459999999997,27.518059259259257,27.42955333333333,21.111854802022087,0,0.028252458813215912,0.05432286231337393,False
2017-04-27,22.69,27.6288,21.766416923754942,21.523916695206875,20.91214021038581,20.750454871248653,22.71531428571429,22.701403333333335,27.54386666666667,27.437179999999998,21.256992238094416,0,0.030050370419106173,0.05833757005978652,False
2017-04-28,22.7871,27.660385185185184,21.386157892777867,21.766416923754942,21.28692705023546,21.00264317180616,22.727757142857143,22.704733333333333,27.57140740740741,27.445859506172837,21.311780055376083,0,0.039270508751023094,0.061738894267648246,False
